wavelength,u1,u2,law_4u1,law_4u2,law_4u3,law_4u4
5250.2084,0.39481068813987247,0.27067173668261285,1.4030890510664935,-1.541550047650006,1.6691536543300383,-0.6060611445332461
5250.6453,0.39481068813987247,0.27067173668261285,1.4030890510664935,-1.541550047650006,1.6691536543300383,-0.6060611445332461
5379.5734,0.37931226373450894,0.27093060224870397,1.40044476882474,-1.5551642203014577,1.6724390350328024,-0.6090173131167934
5381.0216,0.37931226373450894,0.27093060224870397,1.40044476882474,-1.5551642203014577,1.6724390350328024,-0.6090173131167934
5382.2562,0.37931226373450894,0.27093060224870397,1.40044476882474,-1.5551642203014577,1.6724390350328024,-0.6090173131167934
5383.368,0.37931226373450894,0.27093060224870397,1.40044476882474,-1.5551642203014577,1.6724390350328024,-0.6090173131167934
5432.546,0.37679600760114645,0.2702650171764446,1.397867528639899,-1.5553682633876886,1.6711405021994838,-0.6086506706671987
5432.947,0.37679600760114645,0.2702650171764446,1.397867528639899,-1.5553682633876886,1.6711405021994838,-0.6086506706671987
5434.5232,0.37679600760114645,0.2702650171764446,1.397867528639899,-1.5553682633876886,1.6711405021994838,-0.6086506706671987
5435.8577,0.37679600760114645,0.2702650171764446,1.397867528639899,-1.5553682633876886,1.6711405021994838,-0.6086506706671987
5436.2945,0.37679600760114645,0.2702650171764446,1.397867528639899,-1.5553682633876886,1.6711405021994838,-0.6086506706671987
5436.5875,0.37679600760114645,0.2702650171764446,1.397867528639899,-1.5553682633876886,1.6711405021994838,-0.6086506706671987
5576.0881,0.36103090089944023,0.27040073922427926,1.4034590417312367,-1.5785863498365333,1.673606974947943,-0.6079562102288791
5578.718,0.36212866038177977,0.26572149583497573,1.3892639576946846,-1.5658612752193288,1.6646663762911773,-0.6039976147887871
6149.246,0.3163873103591838,0.2646049556028086,1.368775284857191,-1.5728314245344812,1.6309009180201155,-0.5931215130665319
6151.617,0.3163873103591838,0.2646049556028086,1.368775284857191,-1.5728314245344812,1.6309009180201155,-0.5931215130665319
6169.042,0.3156392835930031,0.260378271235019,1.3589082450402477,-1.563616453855708,1.6172308829201156,-0.5855360841480647
6169.563,0.3156392835930031,0.260378271235019,1.3589082450402477,-1.563616453855708,1.6172308829201156,-0.5855360841480647
6170.5056,0.3156392835930031,0.260378271235019,1.3589082450402477,-1.563616453855708,1.6172308829201156,-0.5855360841480647
6173.3344,0.3156392835930031,0.260378271235019,1.3589082450402477,-1.563616453855708,1.6172308829201156,-0.5855360841480647
6301.5008,0.3068798102581188,0.26465109585507074,1.3614163741271612,-1.5668938592871726,1.617555920733972,-0.5890320303492227
6302.4932,0.3068798102581188,0.26465109585507074,1.3614163741271612,-1.5668938592871726,1.617555920733972,-0.5890320303492227
15652.0,0.05665932673697744,0.2609295609246921,1.7434751558015507,-2.6455302201951403,2.3569130461468855,-0.8241032815521938